,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
147522,0.4528,3.57,-1.506,4.835,0.4263,-0.3,0.0,2.1,13.42,10.58,9.197000000000001,8.48,8.078,6.812,6.2139999999999995,6.002000000000001,8.97,5.944,5.88,5868793.0,4290
147575,0.4528,3.57,-1.506,4.834,0.4265,-0.3,0.0,2.2,13.42,10.58,9.196,8.479,8.077,6.811,6.212999999999999,6.001,8.969,5.943,5.877999999999999,5868793.0,4290
147627,0.4528,3.57,-1.506,4.834,0.4267,-0.3,0.0,2.3,13.42,10.57,9.195,8.478,8.076,6.81,6.212000000000001,6.0,8.968,5.942,5.877000000000001,5868793.0,4290
147680,0.4528,3.57,-1.505,4.833,0.4269,-0.3,0.0,2.4,13.42,10.57,9.193,8.477,8.075,6.809,6.211,5.997999999999999,8.966000000000001,5.941,5.876,5868793.0,4290
147733,0.4528,3.57,-1.505,4.833,0.4272,-0.3,0.0,2.5,13.42,10.57,9.193,8.476,8.074,6.808,6.21,5.997000000000001,8.965,5.939,5.875,5868793.0,4290
147786,0.4528,3.57,-1.504,4.833,0.4273,-0.3,0.0,2.6,13.42,10.57,9.192,8.475,8.073,6.807,6.209,5.996,8.965,5.938,5.874,5868793.0,4290
147839,0.4528,3.57,-1.504,4.832,0.4275,-0.3,0.0,2.7,13.41,10.57,9.191,8.474,8.072000000000001,6.806,6.207999999999999,5.995,8.963,5.937,5.872999999999999,5868793.0,4290
147891,0.4528,3.57,-1.504,4.832,0.4277,-0.3,0.0,2.8,13.41,10.57,9.189,8.472999999999999,8.071,6.805,6.207000000000001,5.994,8.962,5.936,5.872000000000001,5868793.0,4290
147943,0.4528,3.57,-1.5030000000000001,4.831,0.4279,-0.3,0.0,2.9,13.41,10.57,9.187999999999999,8.472000000000001,8.07,6.803999999999999,6.206,5.992999999999999,8.961,5.935,5.871,5868793.0,4290
147996,0.4528,3.57,-1.5030000000000001,4.831,0.4282,-0.3,0.0,3.0,13.41,10.57,9.187999999999999,8.471,8.068999999999999,6.803,6.205,5.992000000000001,8.961,5.934,5.87,5868793.0,4290
148049,0.4528,3.57,-1.5019999999999998,4.831,0.4283,-0.3,0.0,3.1,13.41,10.57,9.186,8.47,8.068,6.8020000000000005,6.204,5.9910000000000005,8.959,5.933,5.869,5868793.0,4290
148102,0.4528,3.57,-1.5019999999999998,4.83,0.4285,-0.3,0.0,3.2,13.41,10.56,9.185,8.469,8.067,6.801,6.202999999999999,5.99,8.958,5.932,5.867999999999999,5868793.0,4290
148155,0.4528,3.57,-1.5019999999999998,4.83,0.4286,-0.3,0.0,3.3,13.41,10.56,9.185,8.468,8.066,6.8,6.202000000000001,5.989,8.957,5.932,5.867000000000001,5868793.0,4290
148208,0.4528,3.57,-1.501,4.829,0.4288,-0.3,0.0,3.4,13.41,10.56,9.184,8.467,8.066,6.7989999999999995,6.2010000000000005,5.9879999999999995,8.957,5.931,5.8660000000000005,5868793.0,4290
148262,0.4528,3.57,-1.501,4.829,0.429,-0.3,0.0,3.5,13.41,10.56,9.183,8.466000000000001,8.065,6.797999999999999,6.2,5.987,8.956,5.93,5.8660000000000005,5868793.0,4290
148314,0.4528,3.57,-1.5,4.829,0.4292,-0.3,0.0,3.6,13.41,10.56,9.181000000000001,8.465,8.064,6.797000000000001,6.199,5.987,8.954,5.928999999999999,5.865,5868793.0,4290
148366,0.4528,3.57,-1.5,4.828,0.4293,-0.3,0.0,3.7,13.4,10.56,9.18,8.464,8.062999999999999,6.796,6.1979999999999995,5.986000000000001,8.954,5.928,5.864,5868793.0,4290
148419,0.4528,3.57,-1.5,4.828,0.4295,-0.3,0.0,3.8,13.4,10.56,9.18,8.463,8.062000000000001,6.796,6.197,5.985,8.953,5.9270000000000005,5.8629999999999995,5868793.0,4290
148472,0.4528,3.57,-1.499,4.828,0.4296,-0.3,0.0,3.9,13.4,10.56,9.179,8.462,8.061,6.795,6.196000000000001,5.984,8.952,5.926,5.862,5868793.0,4290
148525,0.4528,3.57,-1.499,4.828,0.4298,-0.3,0.0,4.0,13.4,10.56,9.177999999999999,8.461,8.06,6.794,6.196000000000001,5.983,8.951,5.925,5.861000000000001,5868793.0,4290
148578,0.4528,3.57,-1.499,4.827,0.4299,-0.3,0.0,4.1,13.4,10.56,9.177,8.46,8.059,6.792999999999999,6.195,5.982,8.95,5.9239999999999995,5.86,5868793.0,4290
148631,0.4528,3.57,-1.4980000000000002,4.827,0.4301,-0.3,0.0,4.2,13.4,10.55,9.176,8.459,8.058,6.792000000000001,6.194,5.981,8.949,5.9239999999999995,5.86,5868793.0,4290
148684,0.4528,3.57,-1.4980000000000002,4.827,0.4303,-0.3,0.0,4.3,13.4,10.55,9.175,8.459,8.057,6.791,6.193,5.98,8.948,5.922999999999999,5.859,5868793.0,4290
148738,0.4528,3.57,-1.4980000000000002,4.8260000000000005,0.4304,-0.3,0.0,4.4,13.4,10.55,9.174,8.458,8.057,6.79,6.192,5.979,8.947000000000001,5.922000000000001,5.858,5868793.0,4290
148792,0.4528,3.57,-1.4969999999999999,4.8260000000000005,0.4306,-0.3,0.0,4.5,13.4,10.55,9.173,8.457,8.056000000000001,6.79,6.191,5.979,8.946,5.921,5.857,5868793.0,4290
148844,0.4528,3.57,-1.4969999999999999,4.8260000000000005,0.4307,-0.3,0.0,4.6,13.4,10.55,9.172,8.456,8.055,6.789,6.19,5.978,8.945,5.92,5.856,5868793.0,4290
148896,0.4528,3.57,-1.4969999999999999,4.825,0.4308,-0.3,0.0,4.7,13.39,10.55,9.171,8.455,8.054,6.787999999999999,6.189,5.977,8.943999999999999,5.919,5.856,5868793.0,4290
148949,0.4528,3.57,-1.496,4.825,0.431,-0.3,0.0,4.8,13.39,10.55,9.17,8.454,8.052999999999999,6.787000000000001,6.188,5.976,8.943,5.919,5.855,5868793.0,4290
149002,0.4528,3.57,-1.496,4.825,0.4311,-0.3,0.0,4.9,13.39,10.55,9.169,8.453,8.052999999999999,6.7860000000000005,6.188,5.975,8.943,5.917999999999999,5.854,5868793.0,4290
149055,0.4528,3.57,-1.496,4.825,0.4313,-0.3,0.0,5.0,13.39,10.55,9.168,8.453,8.052,6.7860000000000005,6.187,5.974,8.942,5.917000000000001,5.853,5868793.0,4290
149108,0.4528,3.57,-1.495,4.824,0.4314,-0.3,0.0,5.1,13.39,10.55,9.167,8.451,8.051,6.785,6.186,5.974,8.941,5.916,5.853,5868793.0,4290
149687,0.4528,3.57,-1.493,4.822,0.4324,-0.3,0.0,6.2,13.39,10.54,9.165,8.447000000000001,8.045,6.779,6.18,5.9670000000000005,8.937000000000001,5.9110000000000005,5.847,5868793.0,4290
149740,0.4528,3.57,-1.493,4.822,0.4325,-0.3,0.0,6.3,13.39,10.54,9.163,8.446,8.044,6.778,6.178999999999999,5.966,8.936,5.91,5.846,5868793.0,4290
153869,0.4629,3.5669999999999997,-1.511,4.848,0.4242,-0.29,0.0,0.2,13.46,10.62,9.238,8.499,8.08,6.808,6.211,5.997000000000001,9.001,5.941,5.867999999999999,5868793.0,4290
