,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
32656,0.4528,3.58,-1.452,4.8180000000000005,0.4343,-0.46,0.0,6.4,13.14,10.3,8.924,8.302999999999999,7.956,6.716,6.115,5.9079999999999995,8.756,5.855,5.8,,
32709,0.4528,3.58,-1.452,4.8180000000000005,0.4344,-0.46,0.0,6.5,13.14,10.3,8.923,8.302,7.955,6.715,6.114,5.907,8.755,5.854,5.7989999999999995,,
32762,0.4528,3.58,-1.452,4.8180000000000005,0.4346,-0.46,0.0,6.6,13.14,10.3,8.922,8.301,7.954,6.7139999999999995,6.1129999999999995,5.906000000000001,8.754,5.853,5.797999999999999,,
32815,0.4528,3.58,-1.4509999999999998,4.8180000000000005,0.4347,-0.46,0.0,6.7,13.14,10.3,8.921,8.3,7.952999999999999,6.712999999999999,6.1129999999999995,5.905,8.752,5.852,5.797000000000001,,
32868,0.4528,3.58,-1.4509999999999998,4.817,0.4348,-0.46,0.0,6.8,13.14,10.3,8.919,8.299,7.952000000000001,6.712999999999999,6.112,5.904,8.751,5.851,5.797000000000001,,
32921,0.4528,3.58,-1.4509999999999998,4.817,0.435,-0.46,0.0,6.9,13.14,10.3,8.919,8.298,7.9510000000000005,6.712000000000001,6.111000000000001,5.904,8.751,5.851,5.796,,
32975,0.4528,3.58,-1.45,4.817,0.4351,-0.46,0.0,7.0,13.14,10.3,8.918,8.297,7.95,6.711,6.11,5.903,8.75,5.85,5.795,,
33027,0.4528,3.58,-1.45,4.817,0.4353,-0.46,0.0,7.1,13.13,10.3,8.917,8.297,7.95,6.71,6.109,5.902,8.749,5.849,5.794,,
33079,0.4528,3.58,-1.45,4.816,0.4354,-0.46,0.0,7.2,13.13,10.29,8.916,8.295,7.949,6.709,6.108,5.901,8.748,5.848,5.794,,
33131,0.4528,3.58,-1.449,4.816,0.4356,-0.46,0.0,7.3,13.13,10.29,8.914,8.294,7.9479999999999995,6.707999999999999,6.107,5.9,8.747,5.847,5.792999999999999,,
33183,0.4528,3.58,-1.449,4.816,0.4357,-0.46,0.0,7.4,13.13,10.29,8.913,8.293,7.947,6.707999999999999,6.106,5.899,8.746,5.847,5.792000000000001,,
33236,0.4528,3.58,-1.4480000000000002,4.815,0.4358,-0.46,0.0,7.5,13.13,10.29,8.912,8.293,7.946000000000001,6.707000000000001,6.106,5.899,8.745,5.846,5.791,,
33289,0.4528,3.58,-1.4480000000000002,4.815,0.436,-0.46,0.0,7.6,13.13,10.29,8.911,8.292,7.945,6.706,6.105,5.898,8.744,5.845,5.791,,
33342,0.4528,3.58,-1.4480000000000002,4.815,0.4361,-0.46,0.0,7.7,13.13,10.29,8.91,8.291,7.944,6.705,6.104,5.897,8.743,5.843999999999999,5.79,,
33395,0.4528,3.58,-1.4480000000000002,4.815,0.4362,-0.46,0.0,7.8,13.13,10.29,8.908999999999999,8.29,7.944,6.705,6.103,5.896,8.742,5.843,5.789,,
33448,0.4528,3.58,-1.4469999999999998,4.814,0.4364,-0.46,0.0,7.9,13.13,10.29,8.908,8.289,7.943,6.704,6.103,5.895,8.741,5.843,5.787999999999999,,
33501,0.4528,3.58,-1.4469999999999998,4.814,0.4365,-0.46,0.0,8.0,13.12,10.29,8.907,8.288,7.942,6.702999999999999,6.102,5.894,8.74,5.8420000000000005,5.787000000000001,,
33554,0.4528,3.58,-1.446,4.814,0.4366,-0.46,0.0,8.1,13.12,10.28,8.906,8.287,7.941,6.702000000000001,6.101,5.894,8.738999999999999,5.841,5.787000000000001,,
33607,0.4528,3.58,-1.446,4.814,0.4368,-0.46,0.0,8.2,13.12,10.28,8.905,8.286,7.94,6.7010000000000005,6.1,5.893,8.738,5.84,5.7860000000000005,,
33660,0.4528,3.58,-1.446,4.813,0.4369,-0.46,0.0,8.3,13.12,10.28,8.904,8.285,7.939,6.7,6.099,5.892,8.737,5.8389999999999995,5.785,,
33713,0.4528,3.58,-1.445,4.813,0.437,-0.46,0.0,8.4,13.12,10.28,8.902999999999999,8.283999999999999,7.938,6.7,6.098,5.891,8.736,5.8389999999999995,5.784,,
33766,0.4528,3.58,-1.445,4.813,0.4372,-0.46,0.0,8.5,13.12,10.28,8.902000000000001,8.283999999999999,7.938,6.699,6.098,5.89,8.735,5.837999999999999,5.784,,
33819,0.4528,3.58,-1.445,4.812,0.4373,-0.46,0.0,8.6,13.12,10.28,8.902000000000001,8.283,7.937,6.6979999999999995,6.097,5.89,8.735,5.837000000000001,5.7829999999999995,,
33872,0.4528,3.58,-1.444,4.812,0.4374,-0.46,0.0,8.7,13.12,10.28,8.901,8.282,7.936,6.697,6.096,5.888999999999999,8.734,5.836,5.782,,
33926,0.4528,3.58,-1.444,4.812,0.4376,-0.46,0.0,8.8,13.11,10.28,8.899,8.281,7.935,6.696000000000001,6.095,5.888,8.732000000000001,5.836,5.781000000000001,,
33980,0.4528,3.58,-1.444,4.812,0.4377,-0.46,0.0,8.9,13.11,10.28,8.898,8.28,7.934,6.696000000000001,6.093999999999999,5.8870000000000005,8.731,5.835,5.781000000000001,,
34034,0.4528,3.58,-1.443,4.811,0.4379,-0.46,0.0,9.0,13.11,10.27,8.897,8.279,7.933,6.695,6.093,5.886,8.73,5.834,5.78,,
34086,0.4528,3.58,-1.443,4.811,0.438,-0.46,0.0,9.1,13.11,10.27,8.896,8.277999999999999,7.933,6.694,6.0920000000000005,5.886,8.73,5.832999999999999,5.779,,
34138,0.4528,3.58,-1.443,4.811,0.4382,-0.46,0.0,9.2,13.11,10.27,8.895,8.277000000000001,7.932,6.693,6.0920000000000005,5.885,8.729,5.832000000000001,5.779,,
34190,0.4528,3.58,-1.442,4.811,0.4383,-0.46,0.0,9.3,13.11,10.27,8.894,8.276,7.931,6.693,6.091,5.8839999999999995,8.728,5.832000000000001,5.778,,
34243,0.4528,3.58,-1.442,4.81,0.4384,-0.46,0.0,9.4,13.11,10.27,8.892999999999999,8.276,7.93,6.692,6.09,5.882999999999999,8.727,5.831,5.777,,
34296,0.4528,3.58,-1.442,4.81,0.4386,-0.46,0.0,9.5,13.11,10.27,8.892999999999999,8.275,7.93,6.691,6.0889999999999995,5.882000000000001,8.726,5.83,5.776,,
34349,0.4528,3.58,-1.4409999999999998,4.81,0.4387,-0.46,0.0,9.6,13.11,10.27,8.891,8.274,7.928999999999999,6.69,6.087999999999999,5.882000000000001,8.725,5.829,5.776,,
34402,0.4528,3.58,-1.4409999999999998,4.809,0.4388,-0.46,0.0,9.7,13.1,10.27,8.89,8.273,7.928,6.689,6.087000000000001,5.881,8.724,5.827999999999999,5.775,,
34455,0.4528,3.58,-1.4409999999999998,4.809,0.439,-0.46,0.0,9.8,13.1,10.27,8.889,8.272,7.9270000000000005,6.688,6.087000000000001,5.88,8.722999999999999,5.827999999999999,5.774,,
34508,0.4528,3.58,-1.44,4.809,0.4391,-0.46,0.0,9.9,13.1,10.27,8.888,8.271,7.926,6.688,6.086,5.879,8.722000000000001,5.827000000000001,5.773,,
34561,0.4528,3.58,-1.44,4.809,0.4392,-0.46,0.0,10.0,13.1,10.26,8.887,8.27,7.925,6.687,6.085,5.877999999999999,8.721,5.8260000000000005,5.773,,
