,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
532522,0.181,3.5039999999999996,-2.401,5.067,0.2063,0.22,0.0,11.7,16.73,13.81,12.35,11.07,10.33,8.827,8.31,8.061,11.73,7.89,7.763999999999999,,
532523,0.1911,3.5060000000000002,-2.356,5.052,0.2157,0.22,0.0,11.7,16.57,13.67,12.22,10.95,10.21,8.718,8.199,7.9510000000000005,11.6,7.7829999999999995,7.657,,
532524,0.2011,3.5069999999999997,-2.313,5.037,0.225,0.22,0.0,11.7,16.42,13.54,12.09,10.84,10.1,8.615,8.095,7.848,11.49,7.684,7.558,,
532574,0.1709,3.503,-2.448,5.083,0.1969,0.22,0.0,11.8,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872999999999999,,
532575,0.181,3.5039999999999996,-2.401,5.067,0.2063,0.22,0.0,11.8,16.73,13.81,12.35,11.07,10.33,8.827,8.309,8.06,11.73,7.888999999999999,7.763,,
532576,0.1911,3.5060000000000002,-2.356,5.052,0.2157,0.22,0.0,11.8,16.57,13.67,12.22,10.95,10.21,8.717,8.199,7.9510000000000005,11.6,7.7829999999999995,7.657,,
532577,0.2011,3.5069999999999997,-2.313,5.037,0.225,0.22,0.0,11.8,16.42,13.54,12.09,10.84,10.1,8.613999999999999,8.094,7.847,11.49,7.683,7.557,,
532627,0.1709,3.503,-2.448,5.083,0.1969,0.22,0.0,11.9,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872999999999999,,
532628,0.181,3.5039999999999996,-2.401,5.067,0.2064,0.22,0.0,11.9,16.73,13.81,12.35,11.07,10.32,8.826,8.308,8.059,11.73,7.888999999999999,7.7620000000000005,,
532629,0.1911,3.5060000000000002,-2.356,5.051,0.2158,0.22,0.0,11.9,16.57,13.67,12.22,10.95,10.21,8.717,8.198,7.95,11.6,7.7829999999999995,7.657,,
532630,0.2011,3.5069999999999997,-2.313,5.037,0.2251,0.22,0.0,11.9,16.42,13.54,12.09,10.83,10.1,8.613,8.093,7.847,11.48,7.683,7.557,,
532680,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,12.0,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872999999999999,,
