KOI KIC Teff ETeff eTeff Fe/H e_Fe/H M/H e_M/H SpType Mstar e_Mstar Rstar e_Rstar Dis Fe/H-T e_Fe/H-T Fe/H-M e_Fe/H-M M/H-M e_M/H-M
4252 10525049 3873 143 93 +0.12 0.14 +0.08 0.12 M0V 0.58 0.05 0.55 0.05 121 -0.15 0.14 +0.25 0.15 +0.05 0.16
4875 2986833 3874 237 164 +0.15 0.18 +0.10 0.15 M0V 0.58 0.08 0.56 0.08 289 +0.01 0.14 +0.47 0.28 +0.37 0.30
1649 11337141 3877 155 107 +0.09 0.15 +0.06 0.13 M0V 0.58 0.05 0.55 0.05 177 +0.35 0.16 +0.24 0.14 +0.18 0.14
1427 11129738 3880 148 82 -0.24 0.13 -0.17 0.13 M0V 0.54 0.04 0.51 0.04 156 -0.35 0.13 -0.11 0.13 -0.10 0.14
250 9757613 3884 256 31 -0.13 0.14 -0.10 0.13 M0V 0.55 0.06 0.52 0.06 146 -0.13 0.13 -0.14 0.14 -0.13 0.14
2090 11348997 3889 405 119 +0.32 0.15 +0.22 0.14 M0V 0.60 0.08 0.57 0.08 217 +0.24 0.14 +0.39 0.18 +0.22 0.20
2926 10122538 3899 653 147 +0.24 0.18 +0.16 0.15 M0V 0.60 0.10 0.57 0.10 622 +0.13 0.14 +0.50 0.24 +0.52 0.27
3282 12066569 3901 244 106 -0.20 0.15 -0.14 0.14 M0V 0.55 0.07 0.53 0.07 167 -0.32 0.12 +0.06 0.19 +0.17 0.20
898 7870390 3907 94 106 -0.33 0.13 -0.24 0.13 M0V 0.53 0.04 0.51 0.04 128 -0.34 0.11 +0.07 0.14 -0.10 0.14
2839 6186964 3943 129 210 -0.05 0.18 -0.04 0.15 M0V 0.58 0.07 0.55 0.07 270 +0.10 0.15 +0.08 0.27 +0.14 0.30
812 4139816 3949 132 133 -0.45 0.15 -0.32 0.13 M0V 0.53 0.05 0.51 0.05 115 -0.41 0.13 -0.33 0.15 -0.38 0.15
1880 10332883 3950 73 165 -0.15 0.14 -0.11 0.13 M0V 0.57 0.05 0.54 0.05 82 +0.17 0.14 +0.13 0.15 +0.06 0.16
1408 9150827 3955 109 75 -0.16 0.13 -0.12 0.13 M0V 0.57 0.04 0.54 0.03 119 -0.03 0.12 +0.02 0.13 +0.02 0.14
2130 2161536 3967 189 140 +0.06 0.14 +0.04 0.13 M0V 0.59 0.06 0.56 0.05 285 +0.18 0.13 +0.25 0.13 +0.15 0.14
1141 8346392 3968 391 69 -0.14 0.14 -0.10 0.13 M0V 0.58 0.07 0.55 0.06 230 -0.13 0.13 +0.11 0.13 +0.06 0.14
